Question Title,Difficulty,URL,Total Accepted,Total Submissions,Paid Only
Split With Minimum Sum,Easy,https://leetcode.com/problems/split-with-minimum-sum/,42889,59792,No
Count Total Number of Colored Cells,Medium,https://leetcode.com/problems/count-total-number-of-colored-cells/,194110,293155,No
Number of Ways to Earn Points,Hard,https://leetcode.com/problems/number-of-ways-to-earn-points/,19975,34288,No
Split the Array to Make Coprime Products,Hard,https://leetcode.com/problems/split-the-array-to-make-coprime-products/,12905,55594,No
Kth Largest Sum in a Binary Tree,Medium,https://leetcode.com/problems/kth-largest-sum-in-a-binary-tree/,163418,275547,No
Pass the Pillow,Easy,https://leetcode.com/problems/pass-the-pillow/,202699,358303,No
Time to Cross a Bridge,Hard,https://leetcode.com/problems/time-to-cross-a-bridge/,4966,11445,No
Disconnect Path in a Binary Matrix by at Most One Flip,Medium,https://leetcode.com/problems/disconnect-path-in-a-binary-matrix-by-at-most-one-flip/,16294,59657,No
Maximum Number of Integers to Choose From a Range I,Medium,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i/,159916,235694,No
Separate the Digits in an Array,Easy,https://leetcode.com/problems/separate-the-digits-in-an-array/,87259,108982,No
Maximum Subsequence Score,Medium,https://leetcode.com/problems/maximum-subsequence-score/,121747,224906,No
Check if Point Is Reachable,Hard,https://leetcode.com/problems/check-if-point-is-reachable/,9162,21141,No
Minimum Common Value,Easy,https://leetcode.com/problems/minimum-common-value/,271890,466685,No
Minimum Cost to Split an Array,Hard,https://leetcode.com/problems/minimum-cost-to-split-an-array/,14024,33546,No
Apply Bitwise Operations to Make Strings Equal,Medium,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal/,20668,49807,No
Sort the Students by Their Kth Score,Medium,https://leetcode.com/problems/sort-the-students-by-their-kth-score/,75212,87917,No
Alternating Digit Sum,Easy,https://leetcode.com/problems/alternating-digit-sum/,76678,112167,No
Minimize the Maximum of Two Arrays,Medium,https://leetcode.com/problems/minimize-the-maximum-of-two-arrays/,14827,47696,No
Difference Between Maximum and Minimum Price Sum,Hard,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum/,8914,28215,No
Count the Number of Good Subarrays,Medium,https://leetcode.com/problems/count-the-number-of-good-subarrays/,26229,49602,No
Increment Submatrices by One,Medium,https://leetcode.com/problems/increment-submatrices-by-one/,23387,45688,No
Difference Between Element Sum and Digit Sum of an Array,Easy,https://leetcode.com/problems/difference-between-element-sum-and-digit-sum-of-an-array/,156208,184358,No
Find Xor-Beauty of Array,Medium,https://leetcode.com/problems/find-xor-beauty-of-array/,22251,32275,No
Find Consecutive Integers from a Data Stream,Medium,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream/,30790,60996,No
Categorize Box According to Criteria,Easy,https://leetcode.com/problems/categorize-box-according-to-criteria/,39853,107368,No
Maximize the Minimum Powered City,Hard,https://leetcode.com/problems/maximize-the-minimum-powered-city/,8264,25148,No
Maximal Score After Applying K Operations,Medium,https://leetcode.com/problems/maximal-score-after-applying-k-operations/,155458,243819,No
Make Number of Distinct Characters Equal,Medium,https://leetcode.com/problems/make-number-of-distinct-characters-equal/,21570,80530,No
Maximum Count of Positive Integer and Negative Integer,Easy,https://leetcode.com/problems/maximum-count-of-positive-integer-and-negative-integer/,304568,408556,No
Closest Prime Numbers in Range,Medium,https://leetcode.com/problems/closest-prime-numbers-in-range/,175869,341197,No
Distinct Prime Factors of Product of Array,Medium,https://leetcode.com/problems/distinct-prime-factors-of-product-of-array/,37475,71293,No
Count the Digits That Divide a Number,Easy,https://leetcode.com/problems/count-the-digits-that-divide-a-number/,112162,131064,No
Difference Between Ones and Zeros in Row and Column,Medium,https://leetcode.com/problems/difference-between-ones-and-zeros-in-row-and-column/,134611,159736,No
Count Anagrams,Hard,https://leetcode.com/problems/count-anagrams/,15059,43284,No
Minimum Operations to Make Array Equal II,Medium,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii/,25032,77769,No
Reward Top K Students,Medium,https://leetcode.com/problems/reward-top-k-students/,24681,53998,No
Maximum Enemy Forts That Can Be Captured,Easy,https://leetcode.com/problems/maximum-enemy-forts-that-can-be-captured/,28675,72145,No
Number of Great Partitions,Hard,https://leetcode.com/problems/number-of-great-partitions/,11070,34359,No
Maximum Tastiness of Candy Basket,Medium,https://leetcode.com/problems/maximum-tastiness-of-candy-basket/,28128,42834,No
Take K of Each Character From Left and Right,Medium,https://leetcode.com/problems/take-k-of-each-character-from-left-and-right/,107046,206921,No
Shortest Distance to Target String in a Circular Array,Easy,https://leetcode.com/problems/shortest-distance-to-target-string-in-a-circular-array/,35399,70413,No
Cycle Length Queries in a Tree,Hard,https://leetcode.com/problems/cycle-length-queries-in-a-tree/,15616,27017,No
Add Edges to Make Degrees of All Nodes Even,Hard,https://leetcode.com/problems/add-edges-to-make-degrees-of-all-nodes-even/,16487,49516,No
Smallest Value After Replacing With Sum of Prime Factors,Medium,https://leetcode.com/problems/smallest-value-after-replacing-with-sum-of-prime-factors/,26929,55028,No
Count Pairs Of Similar Strings,Easy,https://leetcode.com/problems/count-pairs-of-similar-strings/,59987,83172,No
Minimum Total Cost to Make Arrays Unequal,Hard,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal/,5257,12937,No
Frog Jump II,Medium,https://leetcode.com/problems/frog-jump-ii/,26988,43472,No
Maximum Star Sum of a Graph,Medium,https://leetcode.com/problems/maximum-star-sum-of-a-graph/,25273,62329,No
Maximum Value of a String in an Array,Easy,https://leetcode.com/problems/maximum-value-of-a-string-in-an-array/,54936,74990,No
Maximum Number of Points From Grid Queries,Hard,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries/,90925,152323,No
Design Memory Allocator,Medium,https://leetcode.com/problems/design-memory-allocator/,24024,45235,No
Longest Square Streak in an Array,Medium,https://leetcode.com/problems/longest-square-streak-in-an-array/,151009,284621,No
Delete Greatest Value in Each Row,Easy,https://leetcode.com/problems/delete-greatest-value-in-each-row/,76462,97041,No
Divide Nodes Into the Maximum Number of Groups,Hard,https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups/,81265,120368,No
Minimum Score of a Path Between Two Cities,Medium,https://leetcode.com/problems/minimum-score-of-a-path-between-two-cities/,95249,165172,No
Divide Players Into Teams of Equal Skill,Medium,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill/,186846,270994,No
Circular Sentence,Easy,https://leetcode.com/problems/circular-sentence/,178595,253394,No
Count Palindromic Subsequences,Hard,https://leetcode.com/problems/count-palindromic-subsequences/,14214,36655,No
Minimum Penalty for a Shop,Medium,https://leetcode.com/problems/minimum-penalty-for-a-shop/,121737,180199,No
Minimum Cuts to Divide a Circle,Easy,https://leetcode.com/problems/minimum-cuts-to-divide-a-circle/,50603,92199,No
Count Subarrays With Median K,Hard,https://leetcode.com/problems/count-subarrays-with-median-k/,14689,32700,No
Remove Nodes From Linked List,Medium,https://leetcode.com/problems/remove-nodes-from-linked-list/,222246,299424,No
Append Characters to String to Make Subsequence,Medium,https://leetcode.com/problems/append-characters-to-string-to-make-subsequence/,199553,273542,No
Find the Pivot Integer,Easy,https://leetcode.com/problems/find-the-pivot-integer/,251888,300870,No
Number of Beautiful Partitions,Hard,https://leetcode.com/problems/number-of-beautiful-partitions/,11831,36946,No
Minimum Fuel Cost to Report to the Capital,Medium,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital/,77576,120905,No
Closest Nodes Queries in a Binary Search Tree,Medium,https://leetcode.com/problems/closest-nodes-queries-in-a-binary-search-tree/,29586,70137,No
Number of Unequal Triplets in Array,Easy,https://leetcode.com/problems/number-of-unequal-triplets-in-array/,50244,69749,No
Most Profitable Path in a Tree,Medium,https://leetcode.com/problems/most-profitable-path-in-a-tree/,100262,147817,No
Split Message Based on Limit,Hard,https://leetcode.com/problems/split-message-based-on-limit/,16484,38300,No
Count Ways To Build Good Strings,Medium,https://leetcode.com/problems/count-ways-to-build-good-strings/,167960,283421,No
Number of Distinct Averages,Easy,https://leetcode.com/problems/number-of-distinct-averages/,59073,101185,No
Maximum Number of Non-overlapping Palindrome Substrings,Hard,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings/,18861,45740,No
Minimum Number of Operations to Sort a Binary Tree by Level,Medium,https://leetcode.com/problems/minimum-number-of-operations-to-sort-a-binary-tree-by-level/,106053,142743,No
Number of Subarrays With LCM Equal to K,Medium,https://leetcode.com/problems/number-of-subarrays-with-lcm-equal-to-k/,24749,62542,No
Convert the Temperature,Easy,https://leetcode.com/problems/convert-the-temperature/,238740,265152,No
Minimum Total Distance Traveled,Hard,https://leetcode.com/problems/minimum-total-distance-traveled/,73409,124295,No
Total Cost to Hire K Workers,Medium,https://leetcode.com/problems/total-cost-to-hire-k-workers/,132362,308464,No
Maximum Sum of Distinct Subarrays With Length K,Medium,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/,200250,469425,No
Apply Operations to an Array,Easy,https://leetcode.com/problems/apply-operations-to-an-array/,234420,313037,No
Words Within Two Edits of Dictionary,Medium,https://leetcode.com/problems/words-within-two-edits-of-dictionary/,25592,41844,No
Next Greater Element IV,Hard,https://leetcode.com/problems/next-greater-element-iv/,13661,34398,No
Destroy Sequential Targets,Medium,https://leetcode.com/problems/destroy-sequential-targets/,20195,50136,No
Odd String Difference,Easy,https://leetcode.com/problems/odd-string-difference/,37024,60937,No
Number of Subarrays With GCD Equal to K,Medium,https://leetcode.com/problems/number-of-subarrays-with-gcd-equal-to-k/,29319,57660,No
Height of Binary Tree After Subtree Removal Queries,Hard,https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/,100818,183523,No
Minimum Addition to Make Integer Beautiful,Medium,https://leetcode.com/problems/minimum-addition-to-make-integer-beautiful/,22141,58459,No
Most Popular Video Creator,Medium,https://leetcode.com/problems/most-popular-video-creator/,25367,57250,No
Average Value of Even Numbers That Are Divisible by Three,Easy,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three/,72398,118488,No
Sum of Number and Its Reverse,Medium,https://leetcode.com/problems/sum-of-number-and-its-reverse/,40483,84351,No
Minimum Number of Operations to Make Arrays Similar,Hard,https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar/,14624,24291,No
Minimum Cost to Make Array Equal,Hard,https://leetcode.com/problems/minimum-cost-to-make-array-equal/,70837,153421,No
Determine if Two Events Have Conflict,Easy,https://leetcode.com/problems/determine-if-two-events-have-conflict/,54807,105149,No
Bitwise XOR of All Pairings,Medium,https://leetcode.com/problems/bitwise-xor-of-all-pairings/,145644,217239,No
Remove Letter To Equalize Frequency,Easy,https://leetcode.com/problems/remove-letter-to-equalize-frequency/,60635,336423,No
Create Components With Same Value,Hard,https://leetcode.com/problems/create-components-with-same-value/,8614,16354,No
Minimize Maximum of Array,Medium,https://leetcode.com/problems/minimize-maximum-of-array/,89637,193123,No
Range Product Queries of Powers,Medium,https://leetcode.com/problems/range-product-queries-of-powers/,18323,44024,No
Number of Valid Clock Times,Easy,https://leetcode.com/problems/number-of-valid-clock-times/,35055,74129,No
Count Subarrays With Fixed Bounds,Hard,https://leetcode.com/problems/count-subarrays-with-fixed-bounds/,152481,225278,No
Longest Increasing Subsequence II,Hard,https://leetcode.com/problems/longest-increasing-subsequence-ii/,19511,77123,No
Count Number of Distinct Integers After Reverse Operations,Medium,https://leetcode.com/problems/count-number-of-distinct-integers-after-reverse-operations/,79437,99388,No
Largest Positive Integer That Exists With Its Negative,Easy,https://leetcode.com/problems/largest-positive-integer-that-exists-with-its-negative/,242726,324890,No
Paths in Matrix Whose Sum Is Divisible by K,Hard,https://leetcode.com/problems/paths-in-matrix-whose-sum-is-divisible-by-k/,26909,61472,No
Using a Robot to Print the Lexicographically Smallest String,Medium,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string/,22076,53342,No
Find The Original Array of Prefix Xor,Medium,https://leetcode.com/problems/find-the-original-array-of-prefix-xor/,165245,187651,No
The Employee That Worked on the Longest Task,Easy,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task/,39120,77674,No
Number of Pairs Satisfying Inequality,Hard,https://leetcode.com/problems/number-of-pairs-satisfying-inequality/,15643,34785,No
Longest Uploaded Prefix,Medium,https://leetcode.com/problems/longest-uploaded-prefix/,24432,43407,No
Partition String Into Substrings With Values at Most K,Medium,https://leetcode.com/problems/partition-string-into-substrings-with-values-at-most-k/,23822,51380,No
Maximum Deletions on a String,Hard,https://leetcode.com/problems/maximum-deletions-on-a-string/,15430,44941,No
Minimize XOR,Medium,https://leetcode.com/problems/minimize-xor/,133850,214350,No
Maximum Sum of an Hourglass,Medium,https://leetcode.com/problems/maximum-sum-of-an-hourglass/,46073,60792,No
Number of Common Factors,Easy,https://leetcode.com/problems/number-of-common-factors/,114617,144347,No
Number of Good Paths,Hard,https://leetcode.com/problems/number-of-good-paths/,59794,106910,No
Find All Good Indices,Medium,https://leetcode.com/problems/find-all-good-indices/,27631,69880,No
Longest Subarray With Maximum Bitwise AND,Medium,https://leetcode.com/problems/longest-subarray-with-maximum-bitwise-and/,154719,250400,No
Sort the People,Easy,https://leetcode.com/problems/sort-the-people/,337069,397441,No
Minimum Money Required Before Transactions,Hard,https://leetcode.com/problems/minimum-money-required-before-transactions/,11908,29119,No
Smallest Subarrays With Maximum Bitwise OR,Medium,https://leetcode.com/problems/smallest-subarrays-with-maximum-bitwise-or/,14989,33402,No
Maximum Matching of Players With Trainers,Medium,https://leetcode.com/problems/maximum-matching-of-players-with-trainers/,49189,74167,No
Count Days Spent Together,Easy,https://leetcode.com/problems/count-days-spent-together/,26771,57925,No
Number of Unique Subjects Taught by Each Teacher,Easy,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher/,336518,376863,No
Sum of Prefix Scores of Strings,Hard,https://leetcode.com/problems/sum-of-prefix-scores-of-strings/,115448,190300,No
Reverse Odd Levels of Binary Tree,Medium,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree/,163962,189301,No
Length of the Longest Alphabetical Continuous Substring,Medium,https://leetcode.com/problems/length-of-the-longest-alphabetical-continuous-substring/,53734,90977,No
Smallest Even Multiple,Easy,https://leetcode.com/problems/smallest-even-multiple/,224332,254795,No
Divide Intervals Into Minimum Number of Groups,Medium,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups/,134348,210920,No
Optimal Partition of String,Medium,https://leetcode.com/problems/optimal-partition-of-string/,251740,322144,No
Most Frequent Even Element,Easy,https://leetcode.com/problems/most-frequent-even-element/,104127,202232,No
Task Scheduler II,Medium,https://leetcode.com/problems/task-scheduler-ii/,46482,86477,No
Maximum Rows Covered by Columns,Medium,https://leetcode.com/problems/maximum-rows-covered-by-columns/,17426,30990,No
Strictly Palindromic Number,Medium,https://leetcode.com/problems/strictly-palindromic-number/,110620,125672,No
Find Subarrays With Equal Sum,Easy,https://leetcode.com/problems/find-subarrays-with-equal-sum/,60266,91410,No
Meeting Rooms III,Hard,https://leetcode.com/problems/meeting-rooms-iii/,136370,310645,No
Longest Nice Subarray,Medium,https://leetcode.com/problems/longest-nice-subarray/,160034,247117,No
Number of Ways to Reach a Position After Exactly k Steps,Medium,https://leetcode.com/problems/number-of-ways-to-reach-a-position-after-exactly-k-steps/,34854,97087,No
Check Distances Between Same Letters,Easy,https://leetcode.com/problems/check-distances-between-same-letters/,56075,79317,No
Largest Palindromic Number,Medium,https://leetcode.com/problems/largest-palindromic-number/,46732,128890,No
Max Sum of a Pair With Equal Sum of Digits,Medium,https://leetcode.com/problems/max-sum-of-a-pair-with-equal-sum-of-digits/,231870,351305,No
Build a Matrix With Conditions,Hard,https://leetcode.com/problems/build-a-matrix-with-conditions/,96708,122052,No
Minimum Amount of Time to Collect Garbage,Medium,https://leetcode.com/problems/minimum-amount-of-time-to-collect-garbage/,143012,168061,No
Removing Stars From a String,Medium,https://leetcode.com/problems/removing-stars-from-a-string/,476201,613916,No
Longest Subsequence With Limited Sum,Easy,https://leetcode.com/problems/longest-subsequence-with-limited-sum/,134399,185113,No
Maximum Segment Sum After Removals,Hard,https://leetcode.com/problems/maximum-segment-sum-after-removals/,10550,21948,No
Shifting Letters II,Medium,https://leetcode.com/problems/shifting-letters-ii/,147760,277593,No
Time Needed to Rearrange a Binary String,Medium,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string/,37490,72968,No
Minimum Recolors to Get K Consecutive Black Blocks,Easy,https://leetcode.com/problems/minimum-recolors-to-get-k-consecutive-black-blocks/,202453,295679,No
Find the K-Sum of an Array,Hard,https://leetcode.com/problems/find-the-k-sum-of-an-array/,10818,27430,No
Amount of Time for Binary Tree to Be Infected,Medium,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected/,159960,252892,No
Minimum Hours of Training to Win a Competition,Easy,https://leetcode.com/problems/minimum-hours-of-training-to-win-a-competition/,36028,86376,No
Count Special Integers,Hard,https://leetcode.com/problems/count-special-integers/,13905,35402,No
Construct Smallest Number From DI String,Medium,https://leetcode.com/problems/construct-smallest-number-from-di-string/,154013,179398,No
Node With Highest Edge Score,Medium,https://leetcode.com/problems/node-with-highest-edge-score/,38843,80527,No
Largest Local Values in a Matrix,Easy,https://leetcode.com/problems/largest-local-values-in-a-matrix/,179272,204264,No
Minimum Replacements to Sort the Array,Hard,https://leetcode.com/problems/minimum-replacements-to-sort-the-array/,69956,131322,No
Maximum Number of Robots Within Budget,Hard,https://leetcode.com/problems/maximum-number-of-robots-within-budget/,26789,73882,No
Count Number of Bad Pairs,Medium,https://leetcode.com/problems/count-number-of-bad-pairs/,172202,316174,No
Merge Similar Items,Easy,https://leetcode.com/problems/merge-similar-items/,69060,90187,No
Reachable Nodes With Restrictions,Medium,https://leetcode.com/problems/reachable-nodes-with-restrictions/,69490,117226,No
Longest Ideal Subsequence,Medium,https://leetcode.com/problems/longest-ideal-subsequence/,118854,253244,No
Check if There is a Valid Partition For The Array,Medium,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array/,94124,181457,No
Number of Arithmetic Triplets,Easy,https://leetcode.com/problems/number-of-arithmetic-triplets/,153794,181359,No
Longest Cycle in a Graph,Hard,https://leetcode.com/problems/longest-cycle-in-a-graph/,86640,174081,No
Find Closest Node to Given Two Nodes,Medium,https://leetcode.com/problems/find-closest-node-to-given-two-nodes/,84798,185629,No
Maximum Number of Groups Entering a Competition,Medium,https://leetcode.com/problems/maximum-number-of-groups-entering-a-competition/,41243,60629,No
Make Array Zero by Subtracting Equal Amounts,Easy,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts/,146246,199846,No
Shortest Impossible Sequence of Rolls,Hard,https://leetcode.com/problems/shortest-impossible-sequence-of-rolls/,17162,25055,No
Design a Number Container System,Medium,https://leetcode.com/problems/design-a-number-container-system/,142518,245271,No
Best Poker Hand,Easy,https://leetcode.com/problems/best-poker-hand/,47337,77531,No
Number of Zero-Filled Subarrays,Medium,https://leetcode.com/problems/number-of-zero-filled-subarrays/,140719,211085,No
Number of Excellent Pairs,Hard,https://leetcode.com/problems/number-of-excellent-pairs/,16547,34621,No
Design a Food Rating System,Medium,https://leetcode.com/problems/design-a-food-rating-system/,88965,196641,No
Equal Row and Column Pairs,Medium,https://leetcode.com/problems/equal-row-and-column-pairs/,317408,451048,No
First Letter to Appear Twice,Easy,https://leetcode.com/problems/first-letter-to-appear-twice/,153381,207247,No
Minimum Deletions to Make Array Divisible,Hard,https://leetcode.com/problems/minimum-deletions-to-make-array-divisible/,33771,59068,No
Query Kth Smallest Trimmed Number,Medium,https://leetcode.com/problems/query-kth-smallest-trimmed-number/,34408,76106,No
Maximum Number of Pairs in Array,Easy,https://leetcode.com/problems/maximum-number-of-pairs-in-array/,80103,106234,No
Subarray With Elements Greater Than Varying Threshold,Hard,https://leetcode.com/problems/subarray-with-elements-greater-than-varying-threshold/,15531,35058,No
Minimum Sum of Squared Difference,Medium,https://leetcode.com/problems/minimum-sum-of-squared-difference/,16204,62845,No
The Latest Time to Catch a Bus,Medium,https://leetcode.com/problems/the-latest-time-to-catch-a-bus/,28192,100536,No
Evaluate Boolean Binary Tree,Easy,https://leetcode.com/problems/evaluate-boolean-binary-tree/,207331,251520,No
Count the Number of Ideal Arrays,Hard,https://leetcode.com/problems/count-the-number-of-ideal-arrays/,7079,25826,No
Move Pieces to Obtain a String,Medium,https://leetcode.com/problems/move-pieces-to-obtain-a-string/,135878,238702,No
Smallest Number in Infinite Set,Medium,https://leetcode.com/problems/smallest-number-in-infinite-set/,187918,263356,No
Minimum Amount of Time to Fill Cups,Easy,https://leetcode.com/problems/minimum-amount-of-time-to-fill-cups/,56533,96457,No
Spiral Matrix IV,Medium,https://leetcode.com/problems/spiral-matrix-iv/,168446,204966,No
Number of Increasing Paths in a Grid,Hard,https://leetcode.com/problems/number-of-increasing-paths-in-a-grid/,74412,128933,No
Number of People Aware of a Secret,Medium,https://leetcode.com/problems/number-of-people-aware-of-a-secret/,27512,59694,No
Decode the Message,Easy,https://leetcode.com/problems/decode-the-message/,128949,151267,No
Number of Distinct Roll Sequences,Hard,https://leetcode.com/problems/number-of-distinct-roll-sequences/,12387,21701,No
Count Unreachable Pairs of Nodes in an Undirected Graph,Medium,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/,103069,209581,No
Maximum XOR After Operations ,Medium,https://leetcode.com/problems/maximum-xor-after-operations/,28298,35742,No
Count Asterisks,Easy,https://leetcode.com/problems/count-asterisks/,84132,101825,No
Minimum Score After Removals on a Tree,Hard,https://leetcode.com/problems/minimum-score-after-removals-on-a-tree/,8162,15705,No
Check if Matrix Is X-Matrix,Easy,https://leetcode.com/problems/check-if-matrix-is-x-matrix/,61426,93998,No
Count Number of Ways to Place Houses,Medium,https://leetcode.com/problems/count-number-of-ways-to-place-houses/,30865,72583,No
Longest Binary Subsequence Less Than or Equal to K,Medium,https://leetcode.com/problems/longest-binary-subsequence-less-than-or-equal-to-k/,24041,63101,No
Count Subarrays With Score Less Than K,Hard,https://leetcode.com/problems/count-subarrays-with-score-less-than-k/,39685,71288,No
Match Substring After Replacement,Hard,https://leetcode.com/problems/match-substring-after-replacement/,16039,38390,No
Successful Pairs of Spells and Potions,Medium,https://leetcode.com/problems/successful-pairs-of-spells-and-potions/,216005,479582,No
Strong Password Checker II,Easy,https://leetcode.com/problems/strong-password-checker-ii/,49305,89900,No
Naming a Company,Hard,https://leetcode.com/problems/naming-a-company/,63203,136438,No
Design a Text Editor,Hard,https://leetcode.com/problems/design-a-text-editor/,31139,65284,No
Replace Elements in an Array,Medium,https://leetcode.com/problems/replace-elements-in-an-array/,41162,70303,No
Partition Array Such That Maximum Difference Is K,Medium,https://leetcode.com/problems/partition-array-such-that-maximum-difference-is-k/,50056,67375,No
Min Max Game,Easy,https://leetcode.com/problems/min-max-game/,56101,88189,No
Root Equals Sum of Children,Easy,https://leetcode.com/problems/root-equals-sum-of-children/,286475,337587,No
Add Two Integers,Easy,https://leetcode.com/problems/add-two-integers/,671536,762153,No
Booking Concert Tickets in Groups,Hard,https://leetcode.com/problems/booking-concert-tickets-in-groups/,7882,42551,No
Maximum Total Importance of Roads,Medium,https://leetcode.com/problems/maximum-total-importance-of-roads/,150643,217813,No
Sender With Largest Word Count,Medium,https://leetcode.com/problems/sender-with-largest-word-count/,39226,67613,No
Check if Number Has Equal Digit Count and Digit Value,Easy,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value/,70822,98052,No
Minimum Obstacle Removal to Reach Corner,Hard,https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner/,108549,155174,No
Steps to Make Array Non-decreasing,Medium,https://leetcode.com/problems/steps-to-make-array-non-decreasing/,25840,112910,No
Apply Discount to Prices,Medium,https://leetcode.com/problems/apply-discount-to-prices/,27908,86035,No
Rearrange Characters to Make Target String,Easy,https://leetcode.com/problems/rearrange-characters-to-make-target-string/,47974,80107,No
Sum of Total Strength of Wizards,Hard,https://leetcode.com/problems/sum-of-total-strength-of-wizards/,22563,80232,No
Minimum Lines to Represent a Line Chart,Medium,https://leetcode.com/problems/minimum-lines-to-represent-a-line-chart/,28886,111611,No
Maximum Bags With Full Capacity of Rocks,Medium,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks/,101973,151062,No
Percentage of Letter in String,Easy,https://leetcode.com/problems/percentage-of-letter-in-string/,87318,117374,No
Longest Path With Different Adjacent Characters,Hard,https://leetcode.com/problems/longest-path-with-different-adjacent-characters/,81933,151962,No
Maximum Trailing Zeros in a Cornered Path,Medium,https://leetcode.com/problems/maximum-trailing-zeros-in-a-cornered-path/,8773,24067,No
Minimum Rounds to Complete All Tasks,Medium,https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks/,159621,253734,No
Calculate Digit Sum of a String,Easy,https://leetcode.com/problems/calculate-digit-sum-of-a-string/,46032,69377,No
Substring With Largest Variance,Hard,https://leetcode.com/problems/substring-with-largest-variance/,72298,157517,No
Maximum White Tiles Covered by a Carpet,Medium,https://leetcode.com/problems/maximum-white-tiles-covered-by-a-carpet/,19076,55008,No
Number of Ways to Split Array,Medium,https://leetcode.com/problems/number-of-ways-to-split-array/,211479,377033,No
Count Integers in Intervals,Hard,https://leetcode.com/problems/count-integers-in-intervals/,22510,62581,No
Largest Combination With Bitwise AND Greater Than Zero,Medium,https://leetcode.com/problems/largest-combination-with-bitwise-and-greater-than-zero/,149281,184483,No
Maximum Consecutive Floors Without Special Floors,Medium,https://leetcode.com/problems/maximum-consecutive-floors-without-special-floors/,36435,70228,No
Maximum Score of a Node Sequence,Hard,https://leetcode.com/problems/maximum-score-of-a-node-sequence/,14084,36372,No
Design an ATM Machine,Medium,https://leetcode.com/problems/design-an-atm-machine/,26646,60581,No
Number of Ways to Buy Pens and Pencils,Medium,https://leetcode.com/problems/number-of-ways-to-buy-pens-and-pencils/,33208,59607,No
Find Closest Number to Zero,Easy,https://leetcode.com/problems/find-closest-number-to-zero/,158199,336877,No
 Check if There Is a Valid Parentheses String Path,Hard,https://leetcode.com/problems/check-if-there-is-a-valid-parentheses-string-path/,17845,45498,No
Count Number of Texts,Medium,https://leetcode.com/problems/count-number-of-texts/,24391,50243,No
Count Nodes Equal to Average of Subtree,Medium,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree/,164737,190951,No
Largest 3-Same-Digit Number in String,Easy,https://leetcode.com/problems/largest-3-same-digit-number-in-string/,162828,235792,No
Minimum Number of Operations to Convert Time,Easy,https://leetcode.com/problems/minimum-number-of-operations-to-convert-time/,48353,73990,No
Escape the Spreading Fire,Hard,https://leetcode.com/problems/escape-the-spreading-fire/,14325,39894,No
Count Unguarded Cells in the Grid,Medium,https://leetcode.com/problems/count-unguarded-cells-in-the-grid/,107358,163119,No
Minimum Average Difference,Medium,https://leetcode.com/problems/minimum-average-difference/,90930,209566,No
Count Prefixes of a Given String,Easy,https://leetcode.com/problems/count-prefixes-of-a-given-string/,78321,106241,No
Total Appeal of A String,Hard,https://leetcode.com/problems/total-appeal-of-a-string/,39735,71195,No
K Divisible Elements Subarrays,Medium,https://leetcode.com/problems/k-divisible-elements-subarrays/,41194,77283,No
Minimum Consecutive Cards to Pick Up,Medium,https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up/,96071,183502,No
Remove Digit From Number to Maximize Result,Easy,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result/,106566,227140,No
Number of Flowers in Full Bloom,Hard,https://leetcode.com/problems/number-of-flowers-in-full-bloom/,92720,162507,No
Count Number of Rectangles Containing Each Point,Medium,https://leetcode.com/problems/count-number-of-rectangles-containing-each-point/,19410,54260,No
Count Lattice Points Inside a Circle,Medium,https://leetcode.com/problems/count-lattice-points-inside-a-circle/,28330,51786,No
